repo_index,repo_name,repo_url,category,metric,value
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,has_mobile_signal,0
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,has_osint_signal,0
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,has_automation_signal,0
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,description_length,74
9,emergency-medicine,https://github.com/sobri3195/emergency-medicine,Web Application Security,inferred_language,Unknown
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,token_count,6
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,security_keyword_hits,0
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,has_ai_signal,0
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,has_web_signal,1
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,has_mobile_signal,0
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,has_osint_signal,0
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,has_automation_signal,0
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,description_length,41
10,Persiapan-ppds-sobri,https://github.com/sobri3195/Persiapan-ppds-sobri,Web Application Security,inferred_language,Unknown
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,token_count,5
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,security_keyword_hits,1
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,has_ai_signal,0
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,has_web_signal,1
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,has_mobile_signal,0
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,has_osint_signal,0
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,has_automation_signal,0
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,description_length,33
11,Pegasus-CSRF,https://github.com/sobri3195/Pegasus-CSRF,Web Application Security,inferred_language,Unknown
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,token_count,24
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,security_keyword_hits,0
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,has_ai_signal,0
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,has_web_signal,0
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,has_mobile_signal,0
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,has_osint_signal,0
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,has_automation_signal,0
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,description_length,203
12,pegasus-klinik,https://github.com/sobri3195/pegasus-klinik,Web Application Security,inferred_language,Unknown
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,token_count,28
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,security_keyword_hits,0
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,has_ai_signal,0
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,has_web_signal,1
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,has_mobile_signal,0
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,has_osint_signal,0
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,has_automation_signal,0
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,description_length,203
13,Sobri-ColorBlindX,https://github.com/sobri3195/Sobri-ColorBlindX,Web Application Security,inferred_language,Unknown
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,token_count,23
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,security_keyword_hits,0
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,has_ai_signal,0
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,has_web_signal,0
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,has_mobile_signal,0
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,has_osint_signal,0
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,has_automation_signal,0
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,description_length,153
14,somansa-plugin-wordpress,https://github.com/sobri3195/somansa-plugin-wordpress,Web Application Security,inferred_language,Unknown
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,token_count,13
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,security_keyword_hits,2
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,has_ai_signal,0
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,has_web_signal,1
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,has_mobile_signal,0
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,has_osint_signal,0
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,has_automation_signal,0
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,description_length,97
15,Pegasus-Scan-Web-Total,https://github.com/sobri3195/Pegasus-Scan-Web-Total,Network Security,inferred_language,Unknown
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,token_count,2
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,security_keyword_hits,0
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,has_ai_signal,0
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,has_web_signal,0
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,has_mobile_signal,0
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,has_osint_signal,0
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,has_automation_signal,1
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,description_length,14
16,sobri3195,https://github.com/sobri3195/sobri3195,Network Security,inferred_language,Unknown
17,Web-Scraper-Pro---Complete-Website-Scraping-Tool,https://github.com/sobri3195/Web-Scraper-Pro---Complete-Website-Scraping-Tool,Network Security,token_count,11
17,Web-Scraper-Pro---Complete-Website-Scraping-Tool,https://github.com/sobri3195/Web-Scraper-Pro---Complete-Website-Scraping-Tool,Network Security,security_keyword_hits,0
